market_id,source,signal_type,timestamp,direction,prior_price,new_price,price_change,percent_change,time_window_minutes,explanation,prior_timestamp,ticker,condition_id
null,polymarket,relative_change,2025-10-28T13:12:08,up,0.065000,0.080000,0.015000,0.2308,1,Up 23.1% change,2025-10-28T13:11:08,,null
null,polymarket,relative_change,2025-10-29T13:09:36,up,0.085000,0.105000,0.020000,0.2353,0,Up 23.5% change,2025-10-29T13:09:26,,null
