id,ticker,timestamp,end_period_ts,open_interest,volume,price_open,price_close,price_high,price_low,price_mean,yes_ask_open,yes_ask_close,yes_ask_high,yes_ask_low,yes_bid_open,yes_bid_close,yes_bid_high,yes_bid_low,created_at
15837,KXNYSECIRCUIT-26,2025-10-29 23:36:00+00,1761780960,71721,5,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,5.000000,5.000000,5.000000,5.000000,2025-10-30 09:49:07.625982+00
15831,KXNYSECIRCUIT-26,2025-10-29 23:14:00+00,1761779640,71721,15,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,5.000000,5.000000,5.000000,5.000000,2025-10-30 09:49:07.625982+00
15818,KXNYSECIRCUIT-26,2025-10-29 19:09:00+00,1761764940,71706,78,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,5.000000,5.000000,5.000000,5.000000,2025-10-30 09:49:07.625982+00
12751,KXNYSECIRCUIT-26,2025-10-29 17:41:00+00,1761759660,71628,692,6.000000,7.000000,7.000000,6.000000,6.000000,6.000000,7.000000,7.000000,6.000000,5.000000,5.000000,5.000000,5.000000,2025-10-29 18:51:38.211365+00
9761,KXNYSECIRCUIT-26,2025-10-29 15:41:00+00,1761752460,70963,50,5.000000,5.000000,5.000000,5.000000,5.000000,6.000000,6.000000,6.000000,6.000000,5.000000,5.000000,5.000000,5.000000,2025-10-29 17:26:14.863784+00
9754,KXNYSECIRCUIT-26,2025-10-29 14:58:00+00,1761749880,70963,400,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,5.000000,5.000000,5.000000,5.000000,2025-10-29 17:26:14.863784+00
9751,KXNYSECIRCUIT-26,2025-10-29 14:35:00+00,1761748500,70563,46,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,5.000000,5.000000,5.000000,5.000000,2025-10-29 17:26:14.863784+00
9681,KXNYSECIRCUIT-26,2025-10-29 01:42:00+00,1761702120,70517,146,6.000000,8.000000,8.000000,6.000000,7.000000,6.000000,7.000000,8.000000,6.000000,5.000000,5.000000,5.000000,4.000000,2025-10-29 17:26:14.863784+00
9640,KXNYSECIRCUIT-26,2025-10-28 22:02:00+00,1761688920,70398,13,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,5.000000,5.000000,5.000000,5.000000,2025-10-29 17:26:14.863784+00
9601,KXNYSECIRCUIT-26,2025-10-28 19:00:00+00,1761678000,70398,13,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,7.000000,5.000000,5.000000,5.000000,5.000000,2025-10-29 17:26:14.863784+00
9577,KXNYSECIRCUIT-26,2025-10-28 17:27:00+00,1761672420,70398,856,7.000000,6.000000,7.000000,6.000000,6.000000,8.000000,8.000000,8.000000,8.000000,7.000000,5.000000,7.000000,5.000000,2025-10-29 17:26:14.863784+00
852,KXNYSECIRCUIT-26,2025-10-28 09:53:00+00,1761645180,70398,58,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,7.000000,7.000000,7.000000,2025-10-28 14:49:35.247676+00
